timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes,budgetMiB,prefetchBlockMiB,prefetchDepth,case,costSeconds
20260729-191841,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,all,,11189,2588051441,5304,6886706422,2.6610,0.5260,0,0,0,16270945662,1917327.3,25909,3834362,10966636,0,0,0,0,0,128,1,0,forced:s3a_prefetch,330.8768
20260729-191841,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,tpch,1309,295968743,628,681389704,2.3022,0.5202,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_prefetch,37.8982
20260729-191841,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,taxi,659,1064016617,628,1492627517,1.4028,0.0470,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_prefetch,45.6348
20260729-191841,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,lastfm,1216,1867138,3,3198959,1.7133,0.9975,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_prefetch,0.1805
20260729-191841,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,mm,2785,569189337,1702,1902654035,3.3427,0.3889,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_prefetch,103.2451
20260729-191841,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,clickbench,1572,646756165,1522,1950276517,3.0155,0.0318,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_prefetch,94.6993
20260729-191841,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,fmnist,1216,6140828,386,402748965,65.5854,0.6826,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_prefetch,23.1409
20260729-191841,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,sift,1216,3142849,434,452864660,144.0937,0.6431,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_prefetch,26.0189
20260729-191841,headroom_b128_block1_depth0_forced_s3a_prefetch,forced_s3a_prefetch,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,0,0,0,0,0.0,0,0,0,0,0,0,0,0,128,1,0,forced:s3a_prefetch,0.0590
20260729-191857,headroom_b128_block1_depth0_forced_template_multimodal,forced_template_multimodal,all,,11189,2588051441,6248,2437913341,0.9420,0.4416,0,0,0,6100833960,1010306.4,154662,2662625,10255988,0,0,0,0,0,128,1,0,forced:template_multimodal,335.6498
