timestamp,label,mode,scope,prefix,reads,logicalBytes,remoteGets,remoteBytes,readAmp,cacheHitRate,policySwitches,fallbackReads,demandClampReads,ioLatencySumNanos,nsPerOp,p50Ns,p95Ns,p99Ns,prefetchGets,prefetchBytes,prefetchUsefulBytes,prefetchWastedBytes,prefetchCancelledBytes
20260729-171107,headroom_b128_block1_depth0_oracle,oracle_perworkload,prefix,sift,1216,3142849,722,48396991,15.3991,0.4063,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171107,headroom_b128_block1_depth0_oracle,oracle_perworkload,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171215,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,all,,11189,2588051441,7595,3253885398,1.2573,0.4706,0,0,0,7797549048,715632.7,158759,2758515,10595286,1671,437739709,25946770,413797177,0
20260729-171215,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,tpch,1309,295968743,877,255571279,0.8635,0.5027,0,0,0,0,0.0,0,0,0,226,59244544,6159767,53084777,0
20260729-171215,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,taxi,659,1064016617,842,1154502657,1.0850,0.0379,0,0,0,0,0.0,0,0,0,208,54525952,8883838,47646352,0
20260729-171215,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,lastfm,1216,1867138,18,3713441,1.9888,0.9901,0,0,0,0,0.0,0,0,0,6,1572864,283126,1289738,0
20260729-171215,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,mm,2785,569189337,2482,800609176,1.4066,0.3110,0,0,0,0,0.0,0,0,0,563,147587072,8438404,139148668,0
20260729-171215,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,clickbench,1572,646756165,1638,786159664,1.2155,0.1406,0,0,0,0,0.0,0,0,0,287,75235328,190435,75044893,0
20260729-171215,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,fmnist,1216,6140828,965,158153933,25.7545,0.4153,0,0,0,0,0.0,0,0,0,254,66584576,580200,66004376,0
20260729-171215,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,sift,1216,3142849,766,93911361,29.8810,0.4720,0,0,0,0,0.0,0,0,0,124,32305452,1108240,31197212,0
20260729-171215,headroom_b128_block1_depth1_forced_template_locality,forced_template_locality,prefix,emb_real,1216,969764,7,1263887,1.3033,0.9967,0,0,0,0,0.0,0,0,0,3,683921,302760,381161,0
20260729-171537,headroom_b128_block1_depth1_forced_s3a_prefetch,forced_s3a_prefetch,all,,11189,2588051441,9552,11348987923,4.3851,0.5337,0,0,0,26741230653,2409726.6,2373390,5694996,11285908,4335,4545382525,169250798,4376131727,0
20260729-171537,headroom_b128_block1_depth1_forced_s3a_prefetch,forced_s3a_prefetch,prefix,tpch,1309,295968743,1160,1243235555,4.2006,0.4843,0,0,0,0,0.0,0,0,0,485,508364925,64993671,443371254,0
20260729-171537,headroom_b128_block1_depth1_forced_s3a_prefetch,forced_s3a_prefetch,prefix,taxi,659,1064016617,907,1790387621,1.6827,0.1047,0,0,0,0,0.0,0,0,0,317,332398592,12529267,319869325,0
20260729-171537,headroom_b128_block1_depth1_forced_s3a_prefetch,forced_s3a_prefetch,prefix,lastfm,1216,1867138,3,3198959,1.7133,0.9984,0,0,0,0,0.0,0,0,0,1,1048576,203840,844736,0
20260729-171537,headroom_b128_block1_depth1_forced_s3a_prefetch,forced_s3a_prefetch,prefix,mm,2785,569189337,3275,3552654665,6.2416,0.3961,0,0,0,0,0.0,0,0,0,1593,1670381568,74743754,1595637814,0
20260729-171537,headroom_b128_block1_depth1_forced_s3a_prefetch,forced_s3a_prefetch,prefix,clickbench,1572,646756165,2767,3255753637,5.0340,0.0655,0,0,0,0,0.0,0,0,0,1298,1361051648,15035242,1346016406,0
20260729-171537,headroom_b128_block1_depth1_forced_s3a_prefetch,forced_s3a_prefetch,prefix,fmnist,1216,6140828,669,698087773,113.6797,0.6875,0,0,0,0,0.0,0,0,0,289,303038464,1571136,301467328,0
20260729-171537,headroom_b128_block1_depth1_forced_s3a_prefetch,forced_s3a_prefetch,prefix,sift,1216,3142849,770,804723648,256.0491,0.6563,0,0,0,0,0.0,0,0,0,352,369098752,173888,368924864,0
20260729-171537,headroom_b128_block1_depth1_forced_s3a_prefetch,forced_s3a_prefetch,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171703,headroom_b128_block1_depth1_template_auto,template_auto,all,,11189,2588051441,7136,4240253962,1.6384,0.4592,3400,0,0,10004193269,913322.7,153360,4815039,10301232,1085,933972482,61664445,872308037,0
20260729-171703,headroom_b128_block1_depth1_template_auto,template_auto,prefix,tpch,1309,295968743,928,572917253,1.9357,0.4492,610,0,0,0,0.0,0,0,0,207,208558294,26614343,181943951,0
20260729-171703,headroom_b128_block1_depth1_template_auto,template_auto,prefix,taxi,659,1064016617,851,1453271519,1.3658,0.0303,282,0,0,0,0.0,0,0,0,212,214433792,255688,214178104,0
20260729-171703,headroom_b128_block1_depth1_template_auto,template_auto,prefix,lastfm,1216,1867138,16,3657711,1.9590,0.9901,21,0,0,0,0.0,0,0,0,4,1048576,194710,853866,0
20260729-171703,headroom_b128_block1_depth1_template_auto,template_auto,prefix,mm,2785,569189337,2107,1093363254,1.9209,0.3691,1069,0,0,0,0.0,0,0,0,350,319029248,31748037,287281211,0
20260729-171703,headroom_b128_block1_depth1_template_auto,template_auto,prefix,clickbench,1572,646756165,1510,938019942,1.4503,0.1272,560,0,0,0,0.0,0,0,0,138,143130624,1627131,141503493,0
20260729-171703,headroom_b128_block1_depth1_template_auto,template_auto,prefix,fmnist,1216,6140828,999,112412861,18.3058,0.2862,516,0,0,0,0.0,0,0,0,131,34340864,238376,34102488,0
20260729-171703,headroom_b128_block1_depth1_template_auto,template_auto,prefix,sift,1216,3142849,724,65665357,20.8936,0.4400,335,0,0,0,0.0,0,0,0,43,13431084,986160,12444924,0
20260729-171703,headroom_b128_block1_depth1_template_auto,template_auto,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,7,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171819,headroom_b128_block1_depth1_decision_tree,decision_tree,all,,11189,2588051441,6171,3278526435,1.2668,0.5029,68,0,0,9617435219,881039.6,185861,4608361,12856306,609,401080320,5663723,395416597,0
20260729-171819,headroom_b128_block1_depth1_decision_tree,decision_tree,prefix,tpch,1309,295968743,605,123161773,0.4161,0.5378,7,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171819,headroom_b128_block1_depth1_decision_tree,decision_tree,prefix,taxi,659,1064016617,835,1182606824,1.1115,0.0440,19,0,0,0,0.0,0,0,0,205,67895296,3084635,64810661,0
20260729-171819,headroom_b128_block1_depth1_decision_tree,decision_tree,prefix,lastfm,1216,1867138,10,3657711,1.9590,0.9918,2,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171819,headroom_b128_block1_depth1_decision_tree,decision_tree,prefix,mm,2785,569189337,1901,507082874,0.8909,0.3178,13,0,0,0,0.0,0,0,0,1,262144,0,262144,0
20260729-171819,headroom_b128_block1_depth1_decision_tree,decision_tree,prefix,clickbench,1572,646756165,1358,672637033,1.0400,0.1361,18,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171819,headroom_b128_block1_depth1_decision_tree,decision_tree,prefix,fmnist,1216,6140828,684,695555405,113.2674,0.6752,4,0,0,0,0.0,0,0,0,289,303038464,1571136,301467328,0
20260729-171819,headroom_b128_block1_depth1_decision_tree,decision_tree,prefix,sift,1216,3142849,767,92102176,29.3053,0.4630,3,0,0,0,0.0,0,0,0,114,29884416,1007952,28876464,0
20260729-171819,headroom_b128_block1_depth1_decision_tree,decision_tree,prefix,emb_real,1216,969764,11,1722639,1.7763,0.9910,2,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171918,headroom_b128_block1_depth1_oracle,oracle_perworkload,all,,11189,2588051441,6211,2434515515,0.9407,0.4450,0,0,0,6738929893,619687.4,173045,2921002,11721988,1,1048576,203840,844736,0
20260729-171918,headroom_b128_block1_depth1_oracle,oracle_perworkload,prefix,tpch,1309,295968743,655,121192773,0.4095,0.4996,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171918,headroom_b128_block1_depth1_oracle,oracle_perworkload,prefix,taxi,659,1064016617,622,1018688988,0.9574,0.0561,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171918,headroom_b128_block1_depth1_oracle,oracle_perworkload,prefix,lastfm,1216,1867138,3,3198959,1.7133,0.9984,0,0,0,0,0.0,0,0,0,1,1048576,203840,844736,0
20260729-171918,headroom_b128_block1_depth1_oracle,oracle_perworkload,prefix,mm,2785,569189337,1899,506631363,0.8901,0.3181,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171918,headroom_b128_block1_depth1_oracle,oracle_perworkload,prefix,clickbench,1572,646756165,1358,671919051,1.0389,0.1361,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171918,headroom_b128_block1_depth1_oracle,oracle_perworkload,prefix,fmnist,1216,6140828,951,63541325,10.3474,0.2179,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171918,headroom_b128_block1_depth1_oracle,oracle_perworkload,prefix,sift,1216,3142849,722,48396991,15.3991,0.4063,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-171918,headroom_b128_block1_depth1_oracle,oracle_perworkload,prefix,emb_real,1216,969764,1,946065,0.9756,0.9992,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-172051,headroom_b128_block4_depth4_forced_template_locality,forced_template_locality,all,,11189,2588051441,13591,4924794723,1.9029,0.4488,0,0,0,11578431333,1059197.8,156325,3509511,10343833,7424,1944952904,50410157,1894542747,0
20260729-172051,headroom_b128_block4_depth4_forced_template_locality,forced_template_locality,prefix,tpch,1309,295968743,2437,725366142,2.4508,0.3163,0,0,0,0,0.0,0,0,0,1542,403532933,25437688,378095245,0
20260729-172051,headroom_b128_block4_depth4_forced_template_locality,forced_template_locality,prefix,taxi,659,1064016617,1464,1324856303,1.2451,0.0501,0,0,0,0,0.0,0,0,0,838,219676672,6022798,213653874,0
20260729-172051,headroom_b128_block4_depth4_forced_template_locality,forced_template_locality,prefix,lastfm,1216,1867138,15,3516833,1.8835,0.9934,0,0,0,0,0.0,0,0,0,7,1835008,330060,1504948,0
20260729-172051,headroom_b128_block4_depth4_forced_template_locality,forced_template_locality,prefix,mm,2785,569189337,4561,1357488674,2.3850,0.3009,0,0,0,0,0.0,0,0,0,2614,685244416,15343424,669900992,0
20260729-172051,headroom_b128_block4_depth4_forced_template_locality,forced_template_locality,prefix,clickbench,1572,646756165,2710,1067178032,1.6500,0.0655,0,0,0,0,0.0,0,0,0,1241,325320704,190435,325130269,0
20260729-172051,headroom_b128_block4_depth4_forced_template_locality,forced_template_locality,prefix,fmnist,1216,6140828,1375,279580627,45.5282,0.5033,0,0,0,0,0.0,0,0,0,771,201904902,1343032,200561870,0
20260729-172051,headroom_b128_block4_depth4_forced_template_locality,forced_template_locality,prefix,sift,1216,3142849,1022,165544225,52.6733,0.4951,0,0,0,0,0.0,0,0,0,408,106754348,1439960,105314388,0
20260729-172051,headroom_b128_block4_depth4_forced_template_locality,forced_template_locality,prefix,emb_real,1216,969764,7,1263887,1.3033,0.9967,0,0,0,0,0.0,0,0,0,3,683921,302760,381161,0
20260729-174325,headroom_b128_block4_depth4_forced_s3a_prefetch,forced_s3a_prefetch,all,,11189,2588051441,16863,70288990769,27.1590,0.6454,0,0,0,195094488175,17456413.1,17223,58375172,61389569,12895,53564992814,666051845,52898940969,0
20260729-174325,headroom_b128_block4_depth4_forced_s3a_prefetch,forced_s3a_prefetch,prefix,tpch,1309,295968743,323,1286828261,4.3479,0.9641,0,0,0,0,0.0,0,0,0,276,1142162290,272163633,869998657,0
20260729-174325,headroom_b128_block4_depth4_forced_s3a_prefetch,forced_s3a_prefetch,prefix,taxi,659,1064016617,803,3483767311,3.2742,0.5281,0,0,0,0,0.0,0,0,0,492,1977150305,199204082,1777946223,0
20260729-174325,headroom_b128_block4_depth4_forced_s3a_prefetch,forced_s3a_prefetch,prefix,lastfm,1216,1867138,1,3198959,1.7133,0.9992,0,0,0,0,0.0,0,0,0,0,0,0,0,0
20260729-174325,headroom_b128_block4_depth4_forced_s3a_prefetch,forced_s3a_prefetch,prefix,mm,2785,569189337,8226,33965982995,59.6743,0.3813,0,0,0,0,0.0,0,0,0,6503,26863340243,117851552,26745488691,0
20260729-174325,headroom_b128_block4_depth4_forced_s3a_prefetch,forced_s3a_prefetch,prefix,clickbench,1572,646756165,5838,24586924881,38.0158,0.2462,0,0,0,0,0.0,0,0,0,4653,19516096512,73634722,19442461790,0
20260729-174325,headroom_b128_block4_depth4_forced_s3a_prefetch,forced_s3a_prefetch,prefix,fmnist,1216,6140828,599,2496363077,406.5190,0.7089,0,0,0,0,0.0,0,0,0,245,1025726880,2921680,1022805200,0
20260729-174325,headroom_b128_block4_depth4_forced_s3a_prefetch,forced_s3a_prefetch,prefix,sift,1216,3142849,1072,4464979220,1420.6789,0.7155,0,0,0,0,0.0,0,0,0,726,3040516584,276176,3040240408,0
